CLOSURE,CONTAM_ADV,Station_Name,Latitude_DD,Longitude_DD,Beach_Name,Municipality,County_Name,Tot_actions
1.0,,OC1508,39.6523143592,-74.1698473028,S 2nd,Surf City Borough,Ocean,
1.0,,OC1509,39.6541046413,-74.1682880248,N 1st,Surf City Borough,Ocean,
1.0,,OC1510,39.6566291866,-74.1662337379,5th St,Surf City Borough,Ocean,
1.0,,OC1511,39.6591124811,-74.164228952,9th St,Surf City Borough,Ocean,
1.0,,OC1512,39.6616782771,-74.1622489165,13th St,Surf City Borough,Ocean,
1.0,,OC1513,39.6641038206,-74.160103878,17th St,Surf City Borough,Ocean,
1.0,,OC1514,39.6666613665,-74.1582310944,21st St,Surf City Borough,Ocean,
1.0,,OC1515,39.6686249017,-74.1571420749,24th St,Surf City Borough,Ocean,
2.0,,OC1516,39.6411442072,-74.1788782569,20th St,Ship Bottom Borough,Ocean,
1.0,,OC1517,39.6393656437,-74.1802242235,23rd St,Ship Bottom Borough,Ocean,
1.0,,OC1518,39.6373847082,-74.1818157433,26th St,Ship Bottom Borough,Ocean,
1.0,,OC1519,39.6353961629,-74.1832300886,30th St,Ship Bottom Borough,Ocean,
1.0,,OC1520,39.569252841,-74.2297184431,12th St,Beach Haven Borough,Ocean,
1.0,,OC1521,39.5623723931,-74.2345016422,2nd St,Beach Haven Borough,Ocean,
1.0,,OC1522,39.5608515811,-74.2355931927,Engleside,Beach Haven Borough,Ocean,
1.0,,OC1523,39.5588033908,-74.2372366509,Pearl,Beach Haven Borough,Ocean,
1.0,,OC1524,39.5558108252,-74.2397876904,Belvoir,Beach Haven Borough,Ocean,
1.0,,OC1525,39.5541305732,-74.2415537946,Essex,Beach Haven Borough,Ocean,
1.0,,OC1526,39.6115235069,-74.2002980639,Lavenia Ave,Long Beach Township,Ocean,
1.0,,OC1527,39.6080400242,-74.2026383604,Rhode Island Ave,Long Beach Township,Ocean,
1.0,,OC1528,39.6013426782,-74.2070061947,Herbert Ave,Long Beach Township,Ocean,
1.0,,OC1529,39.5993367098,-74.2085484177,California Ave,Long Beach Township,Ocean,
1.0,,OC1530,39.5972983871,-74.2101661342,Kansas Ave,Long Beach Township,Ocean,
1.0,,OC1531,39.5926717181,-74.2138653124,Tennessee Ave,Long Beach Township,Ocean,
1.0,,OC1532,39.6344574695,-74.1838591095,32nd St,Long Beach Township,Ocean,
1.0,,OC1533,39.6325301061,-74.1853724467,36th St,Long Beach Township,Ocean,
1.0,,OC1534,39.630645573,-74.1867858466,40th St,Long Beach Township,Ocean,
1.0,,OC1535,39.6287610399,-74.1882277999,44th St,Long Beach Township,Ocean,
1.0,,OC1536,39.6269478906,-74.1896983068,48th St,Long Beach Township,Ocean,
1.0,,OC1537,39.6249919737,-74.1912830279,52nd St,Long Beach Township,Ocean,
1.0,,OC1538,39.6234643597,-74.1923252318,55th St,Long Beach Township,Ocean,
1.0,,OC1539,39.6216654872,-74.1934959266,58th St,Long Beach Township,Ocean,
1.0,,OC1541,39.6192669905,-74.195180585,Sigsbee Ave,Long Beach Township,Ocean,
1.0,,OC1542,39.6155649958,-74.1975588048,68th St,Long Beach Township,Ocean,
1.0,,OC1543,39.5797340015,-74.2227973965,29th St,Long Beach Township,Ocean,
