Station_Name,Latitude_DD,Longitude_DD
MC1013,40.3622814044,-73.9714540943
MC1013N1,40.3626656054,-73.9714505246
MC1013S1,40.3618663168,-73.9714898318
MC1015S,40.2746960000,-73.9837950000
MC1016,40.3323342545,-73.9728215299
MC1017S,40.2547003433,-73.9896036137
MC1018,40.3200680936,-73.9750786409
MC1018N1,40.3204641301,-73.9751462686
MC1018S1,40.3196774151,-73.9752002055
MC1019,40.3143364604,-73.9761722615
MC1019N1,40.3147430420,-73.9761583883
MC1019S1,40.3139684657,-73.9759682748
MC1020,40.2913981527,-73.9796819117
MC1020N1,40.2917538755,-73.9796939031
MC1020S1,40.2909837876,-73.9798367692
MC1021,40.2609915318,-73.9879961017
MC1021N1,40.2613756455,-73.9877196817
MC1021S1,40.2606108460,-73.9880539959
MC1022,40.2522531157,-73.9901180256
MC1022N1,40.2526496887,-73.9898994105
MC1022S1,40.2518698306,-73.9902046824
MC1023,40.2945292984,-73.9788529377
MC1023N1,40.2949029264,-73.9787138842
MC1023S1,40.2941837289,-73.9790860651
MC1023S2,40.2937143110,-73.9790904230
MC1024,40.2209176425,-73.9984369303
MC1024N1,40.2213124002,-73.9982460396
MC1024S1,40.2205466521,-73.9985539871
MC1025S,40.1642790000,-74.0169520000
MC1027,40.1917268859,-74.0081774117
MC1027N1,40.1921538520,-74.0081128198
MC1027S1,40.1913323227,-74.0082585868
MC1030S,40.1953789894,-74.0071737620
MC1031,40.1888335237,-74.0088216656
MC1036,40.1113420270,-74.0323773678
MC1036N1,40.1125460733,-74.0320374500
MC1036S1,40.1109476296,-74.0324534820
MC1037S,40.1472952245,-74.0223663969
MC1038S,40.1342812058,-74.0265265531
MC1039,40.3040574457,-73.9769902841
MC1039N1,40.3044648715,-73.9769596672
MC1039S1,40.3036781173,-73.9768372400
MC1039S2,40.3032308138,-73.9769830799
MC1041,40.2367133247,-73.9939071598
MC1043,40.2322903369,-73.9960221817
MC1043N1,40.2326794821,-73.9958813070
MC1043S1,40.2318638915,-73.9961483058
MC1046S,40.3245843900,-73.9743557400
MC1046SN1,40.3249891400,-73.9742350500
MC1046SS1,40.3241888000,-73.9744514900
MC1047,40.2692712907,-73.9848903782
MC1049S,40.3179040000,-73.9754400000
MC1050,40.2179562572,-73.9994817762
MC1051,40.2114438126,-74.0018846213
MC1052,40.2089715639,-74.0029218061
MC1052N1,40.2093481091,-74.0026890660
MC1052S1,40.2085889554,-74.0030308463
MC1053,40.2039657903,-74.0045925064
MC1053N1,40.2043389138,-74.0043418164
MC1053S1,40.2036141727,-74.0048288248
MC1054,40.1960369121,-74.0070955720
MC1056,40.1746929138,-74.0133067766
MC1057,40.1606659140,-74.0181320765
MC1057N1,40.1610847994,-74.0181164069
MC1057N3,40.1618681241,-74.0177830314
MC1057S1,40.1602607678,-74.0180371787
MC1058,40.1531230763,-74.0207405113
MC1058N1,40.1535315942,-74.0206923170
MC1058S1,40.1527074964,-74.0206807251
MC1059,40.1458715494,-74.0229989892
MC1059N1,40.1462238282,-74.0228327082
MC1059S1,40.1454798101,-74.0231590711
MC1060,40.1386877468,-74.0250879064
MC1060N1,40.1390413908,-74.0248901373
MC1060S1,40.1382894183,-74.0252159331
MC1062,40.1247816601,-74.0296142220
MC1065,40.2266481207,-73.9966637716
MC1065N1,40.2270058822,-73.9964835004
MC1065S1,40.2262309973,-73.9967908965
MC1066,40.4268641621,-73.9819218203
MC1067,40.1376253671,-74.0253175824
MC1067N1,40.1380311203,-74.0252282114
MC1067S1,40.1372358656,-74.0256406778
MC1068S,40.2993370000,-73.9779020000
MC1069S,40.2900554436,-73.9799591324
MC1070,40.1399664673,-74.0248346537
MC1070N1,40.1403829395,-74.0247615648
MC1070S1,40.1394818265,-74.0248193178
MC1071,40.1409751444,-74.0245880201
MC1071N1,40.1413710785,-74.0243878524
MC1071S1,40.1405484583,-74.0247211052
MC1072,40.1361470507,-74.0258325645
MC1072N1,40.1364856819,-74.0255309129
MC1072S1,40.1357830597,-74.0260339811
MC1072S2,40.1353881232,-74.0262412104
MC1073S,40.2684280000,-73.9854800000
MC1074,40.1796178786,-74.0114136737
MC1075,40.1683779799,-74.0156648801
MC1075N3,40.1695950262,-74.0153935647
MC1076S,40.2345720000,-73.9951900000
MC1077S,40.2309143324,-73.9959768546
MC1080,40.1384346276,-74.0270635462
MC1081,40.1319978699,-74.0272616136
MC1081N1,40.1324037136,-74.0271735901
MC1081S1,40.1316583734,-74.0276164872
MC1082,40.1330808595,-74.0268899586
MC1082N1,40.1335145944,-74.0265760680
MC1082S1,40.1326546129,-74.0270421827
MC1083,40.2154108696,-74.0003227451
MC1083N1,40.2158611330,-74.0000633945
MC1083S1,40.2150603312,-74.0004914794
MC1084,40.2774808730,-73.9829927536
MC1084N1,40.2778520520,-73.9827917653
MC1084S1,40.2771042586,-73.9831809961
MC1088S,40.1444676133,-74.0232565599
MC1089S,40.1424713153,-74.0239869479
MC1092S,40.1311857146,-74.0277777444
MC1096,40.1036598447,-74.0338439653
MC1096N1,40.1040759871,-74.0336693985
MC1096N2,40.1044756903,-74.0335697957
MC1098S,40.4702497325,-73.9957940728
MC1101S,40.4181258133,-73.9794811126
MC1116S,40.2780127221,-73.9825310829
MC1117S,40.1596264219,-74.0181480440
MC1123S,40.2500437814,-73.9908272810
MC1128S,40.2403590000,-73.9933540000
MC1128SN1,40.2407710000,-73.9936860000
MC1128SS1,40.2398010000,-73.9937520000
MC1140S,40.4679691058,-73.9931521050
MC1144S,40.4198913306,-73.9809379834
MC1148S,40.2932078557,-73.9794606099
MC1149S,40.2761425818,-73.9837250809
MC1150S,40.2691674871,-73.9846130117
MC1151S,40.2613547025,-73.9878352194
MC1152S,40.2605430434,-73.9879446010
MC1153S,40.2510368915,-73.9903562159
MC1154S,40.2361633882,-73.9945425489
MC1155S,40.2331931448,-73.9954113601
MC1158S,40.2169800655,-73.9996873833
MC1159S,40.2120956430,-74.0016088870
MC1160S,40.2104868513,-74.0023346489
MC1161S,40.2096111892,-74.0025017183
MC1162S,40.2083691360,-74.0029810240
MC1163S,40.2044437731,-74.0043171428
MC1164S,40.1968582190,-74.0065765919
MC1165S,40.1927909017,-74.0081067843
MC1166S,40.1906755434,-74.0085357948
MC1167S,40.1806637389,-74.0110377041
MC1168S,40.1783691078,-74.0117503336
MC1169S,40.1756448159,-74.0129998947
MC1170S,40.1732526558,-74.0137370019
MC1171S,40.1695048197,-74.0153785855
MC1172S,40.1671707619,-74.0162860829
MC1173S,40.1619247084,-74.0177020703
MC1176S,40.1126236476,-74.0320059303
MC1177S,40.1104783181,-74.0324772635
MC1178S,40.2031640419,-74.0051316285
MC1180S,40.2531891338,-73.9893334896
MC1180SN1,40.2535682200,-73.9897679800
MC1180SS1,40.2526712700,-73.9896445000
MC1181S,40.2690937114,-73.9851377582
MC1182S,40.2958426870,-73.9784557629
MC1187S,40.3651040000,-73.9716240000
